# bookingId|confirmationNo|bookingType|requestedRoomType|checkInDate|checkOutDate|status|assignedRoomNumber|createdAt
B0001|80000008|Walk-In|Suite|2026-08-29|2026-09-01|Checked In|105|2026-08-29 08:30:00
B0002|80000006|Standard|Standard|2026-08-29|2026-08-30|Pending|N/A|2026-08-29 09:15:00
B0003|80000004|Standard|Deluxe|2026-08-29|2026-08-31|Assigned|107|2026-08-29 09:20:00
B0004|80000007|Walk-In|Standard|2026-08-28|2026-08-29|Checked Out|106|2026-08-29 11:15:00
B0005|80000001|Standard|Suite|2026-08-27|2026-08-29|Checked In|108|2026-08-27 14:00:00
B0006|80000003|VIP|Deluxe|2026-08-29|2026-08-31|Pending|N/A|2026-08-29 09:40:00
B0007|80000002|VIP|Standard|2026-08-30|2026-09-01|Assigned|112|2026-08-29 09:50:00
B0008|80000005|VIP|Suite|2026-08-25|2026-08-26|Checked Out|111|2026-08-25 10:00:00
B0009|80000009|Standard|Deluxe|2026-08-29|2026-08-30|Pending|N/A|2026-08-29 10:10:00
B0010|80000010|Standard|Deluxe|2026-08-24|2026-08-26|Checked Out|104|2026-08-24 10:30:00
