# roomNumber|oldStatus|newStatus|timestamp|action
101|Ready|Dirty|2026-08-29 09:00:00|Update
101|Dirty|Cleaning In Progress|2026-08-29 09:30:00|Update
102|Ready|Dirty|2026-08-29 10:00:00|Update
103|Ready|Dirty|2026-08-29 09:45:00|Update
103|Dirty|Cleaning In Progress|2026-08-29 10:10:00|Update
103|Cleaning In Progress|Inspected|2026-08-29 10:30:00|Update
104|Ready|Dirty|2026-08-28 15:00:00|Update
104|Dirty|Ready|2026-08-28 15:05:00|Rollback
106|Ready|Dirty|2026-08-29 11:15:00|Update
102|Dirty|Ready|2026-08-29 12:00:00|Late Checkout
102|Ready|Dirty|2026-08-29 12:20:00|Update
