# roomNumber|roomType|cleanlinessStatus|occupancyStatus|lastUpdate|dirtySince|lastTurnaroundMinutes
101|Deluxe|Ready|Occupied|2026-08-29 12:56:20|N/A|N/A
102|Standard|Dirty|Vacant|2026-08-29 12:20:00|2026-08-29 12:20:00|N/A
103|Suite|Inspected|Vacant|2026-08-29 10:30:00|2026-08-29 09:45:00|N/A
104|Deluxe|Ready|Vacant|N/A|N/A|N/A
105|Suite|Ready|Occupied|2026-08-29 08:30:00|N/A|N/A
106|Standard|Dirty|Vacant|2026-08-29 11:15:00|2026-08-29 11:15:00|N/A
107|Deluxe|Ready|Vacant|N/A|N/A|N/A
108|Suite|Ready|Occupied|2026-08-29 09:00:00|N/A|N/A
109|Standard|Ready|Vacant|N/A|N/A|N/A
110|Deluxe|Dirty|Vacant|2026-08-29 13:15:00|2026-08-29 13:15:00|N/A
111|Suite|Ready|Vacant|N/A|N/A|N/A
112|Standard|Ready|Vacant|N/A|N/A|N/A
